participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
5e71e92d7c127310819224be,33,dedo,/ˈde.ðo/,English,Spanish,0.1875,1.798000097,-1.05335377843159,1.01983932041776,-0.499856015693921
5e71e92d7c127310819224be,34,ensalada,/ensaˈlada/,English,Spanish,0.0740740740740741,1.714999914,0.751091427788858,-1.00731499015237,-0.802541080352047
5e71e92d7c127310819224be,35,esponja,/esˈpoŋ.xa/,English,Spanish,0.0612244897959184,2.763999939,0.231528744428565,-0.160390682501777,-1.32230375796847
5e71e92d7c127310819224be,36,estrella,/esˈtɾe.ʎa/,English,Spanish,0.0617283950617284,0.698999882,-0.0399697739153478,-0.488232349979428,-0.373332462160831
5e71e92d7c127310819224be,37,flor,/flor/,English,Spanish,0.16,0.599999905,0.445675831571925,-0.892570406535194,-0.945022201029828
5e71e92d7c127310819224be,38,frambuesa,/fɾamˈbwe.sa/,English,Spanish,0.0246913580246914,1.897000074,-0.840455031488853,0.0338858611886833,-1.91756162951679
5e71e92d7c127310819224be,39,gafas,/ga'fas/,English,Spanish,0.0612244897959184,1.596999884,0.283618576436412,-0.215030960414717,-1.11121841131619
5e71e92d7c127310819224be,40,galleta,/ɡa.'ʎe.ta/,English,Spanish,0.0408163265306122,1.498999834,-0.283581816537892,0.586359782308425,-1.11587458027624
5e71e92d7c127310819224be,41,gallina,/ɡəˈʎi.na/,English,Spanish,0.0204081632653061,5.279000044,-1.17489671978322,1.16008270039431,-1.0018758907548
5e71e92d7c127310819224be,42,gato,/'ɡa.to/,English,Spanish,0.0625,0.681999922,0.960786392538383,-1.67665839458591,-0.427436117132671
5e71e92d7c127310819224be,43,globo,/ˈɡlo.βo/,English,Spanish,0.08,4.129999876,-0.228335025014422,0.458865800511562,-1.1020513282389
5e71e92d7c127310819224be,44,gorrion,/ɡoˈrjon/,English,Spanish,0.0816326530612245,3.184000015,-0.526667699241166,0.841347745902154,-2.23428331490789
5e71e92d7c127310819224be,45,gorro,/ˈɡo.ro/,English,Spanish,0.04,7.062999964,-1.53952554383813,1.47881765488647,-1.58453885945989
5e71e92d7c127310819224be,46,grifo,/ˈɡɾi.fo/,English,Spanish,0.08,3.51699996,-1.53952554383813,1.47881765488647,-1.83349655183165
5e71e92d7c127310819224be,47,guitarra,/giˈta.ra/,English,Spanish,0.09375,0.133000135,1.10311265070123,-1.13480897194924,-0.920331066150566
